,commodity,attribute,country,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,unit Description,query_date
0,"Meat, Beef and Veal",Beginning Stocks,United States,156.0,179.0,199.0,220.0,195.0,190.0,177.0,193.0,154.0,183.0,193.0,166.0,242.0,252.0,239.0,174.0,214.0,181.0,189.0,240.0,278.0,317.0,237.0,291.0,261.0,288.0,289.0,295.0,260.0,267.0,274.0,278.0,267.0,271.0,313.0,350.0,302.0,304.0,294.0,329.0,308.0,329.0,290.0,(1000 MT CWE)       ,2025-07-19 16:13:38.164349
1,,Production,United States,10425.0,10748.0,10929.0,10997.0,11292.0,10884.0,10880.0,10633.0,10464.0,10534.0,10613.0,10584.0,11194.0,11585.0,11749.0,11714.0,11804.0,12124.0,12298.0,11983.0,12427.0,12039.0,11261.0,11318.0,11980.0,12097.0,12160.0,11885.0,12034.0,11978.0,11845.0,11751.0,11075.0,10817.0,11507.0,11943.0,12256.0,12385.0,12389.0,12734.0,12890.0,12286.0,12292.0,(1000 MT CWE)       ,2025-07-19 16:13:38.164349
2,,Imports,United States,889.0,873.0,838.0,948.0,978.0,1040.0,1092.0,988.0,1069.0,1091.0,1107.0,1089.0,1075.0,954.0,940.0,1063.0,1199.0,1303.0,1375.0,1435.0,1459.0,1363.0,1669.0,1632.0,1399.0,1384.0,1151.0,1191.0,1042.0,933.0,1007.0,1020.0,1337.0,1528.0,1366.0,1358.0,1360.0,1387.0,1515.0,1517.0,1538.0,1690.0,2103.0,(1000 MT CWE)       ,2025-07-19 16:13:38.164349
3,,Exports,United States,115.0,125.0,152.0,151.0,239.0,277.0,313.0,464.0,456.0,539.0,601.0,578.0,731.0,826.0,851.0,969.0,985.0,1094.0,1120.0,1029.0,1110.0,1142.0,209.0,316.0,519.0,650.0,905.0,878.0,1043.0,1263.0,1112.0,1174.0,1167.0,1028.0,1160.0,1297.0,1433.0,1373.0,1338.0,1555.0,1608.0,1378.0,1362.0,(1000 MT CWE)       ,2025-07-19 16:13:38.164349
4,,Domestic Consumption,United States,11176.0,11476.0,11594.0,11819.0,12036.0,11660.0,11643.0,11196.0,11048.0,11076.0,11146.0,11019.0,11528.0,11726.0,11903.0,11768.0,12051.0,12325.0,12502.0,12351.0,12737.0,12340.0,12667.0,12664.0,12833.0,12830.0,12400.0,12233.0,12026.0,11641.0,11736.0,11608.0,11241.0,11275.0,11676.0,12052.0,12181.0,12409.0,12531.0,12717.0,12799.0,12637.0,13050.0,(1000 MT CWE)       ,2025-07-19 16:13:38.164349
5,,Ending Stocks,United States,179.0,199.0,220.0,195.0,190.0,177.0,193.0,154.0,183.0,193.0,166.0,242.0,252.0,239.0,174.0,214.0,181.0,189.0,240.0,278.0,317.0,237.0,291.0,261.0,288.0,289.0,295.0,260.0,267.0,274.0,278.0,267.0,271.0,313.0,350.0,302.0,304.0,294.0,329.0,308.0,329.0,290.0,273.0,(1000 MT CWE)       ,2025-07-19 16:13:38.164349
6,,Total Distribution,United States,11470.0,11800.0,11966.0,12165.0,12465.0,12114.0,12149.0,11814.0,11687.0,11808.0,11913.0,11839.0,12511.0,12791.0,12928.0,12951.0,13217.0,13608.0,13862.0,13658.0,14164.0,13719.0,13167.0,13241.0,13640.0,13769.0,13600.0,13371.0,13336.0,13178.0,13126.0,13049.0,12679.0,12616.0,13186.0,13651.0,13918.0,14076.0,14198.0,14580.0,14736.0,14305.0,14685.0,(1000 MT CWE)       ,2025-07-19 16:13:38.164349
